Schulnummer,Schulname,Bezirk,Adresse,Schueler_2024_25,Lehrer_2024_25,Schueler_2023_24,Lehrer_2023_24,Sprachen,Homepage,Nachfrage_Plaetze_2025_26,Nachfrage_Wuensche_2025_26,Nachfrage_Prozent_2025_26,Abitur_Durchschnitt_2024,Abitur_Durchschnitt_2023,Belastungsstufe,Migration_2024_25,Migration_2023_24,Ortsteil
08K09,Röntgen-Schule,Treptow-Köpenick,"Wildenbruchstraße 53, 12435 Berlin",404,45,409,45,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.roentgen-sekundarschule.de/,100,74,74,2.05,,6,91.6,91.7,Alt-Treptow
07K10,Friedrich-Bergius-Schule,Tempelhof-Schöneberg,"Perelsplatz 6-9, 12159 Berlin",401,48,402,50,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://friedrich-bergius-schule.de,108,33,31,,,5,83.8,83.3,Friedenau
07K13,Schule am Berlinickeplatz,Tempelhof-Schöneberg,"Alt-Tempelhof 53-57, 12103 Berlin",397,43,372,46,"Englisch, Französisch, Spanisch",https://schule-am-berlinickeplatz.de/,104,39,38,,,5,80.6,79.0,Tempelhof
11K06,Schule am Rathaus,Lichtenberg,"Rathausstraße 8, 10367 Berlin",396,44,396,37,"Englisch, Französisch, Spanisch",https://schuleamrathaus.de/,96,79,82,,,4,39.4,33.6,Lichtenberg
03K09,Janusz-Korczak-Schule,Pankow,"Dolomitenstraße 94, 13187 Berlin",389,39,375,39,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://jks-pankow.de/,104,111,107,,,4,26.2,17.9,Pankow
08K12,Kepler-Schule,Neukölln,"Zwillingestraße 21, 12057 Berlin",374,48,374,45,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://kepler-schule.de/,100,32,32,,,5,88.2,87.7,Neukölln
11K13,May-Ayim-Schule,Lichtenberg,"Storkower Straße 209b, 10369 Berlin",369,37,257,22,"Englisch, Französisch, Spanisch",https://may-ayim-schule.de/,104,102,98,,,,26.6,25.3,Fennpfuhl
04K07,Sekundarschule Wilmersdorf,Charlottenburg-Wilmersdorf,"Kranzer Straße 3, 14199 Berlin",344,35,350,35,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.sekundarschule-wilmersdorf.de/,78,33,42,,,4,36.9,36.6,Schmargendorf
10K03,Kerschensteiner-Schule,Marzahn-Hellersdorf,"Golliner Straße 2, 12689 Berlin",322,27,318,26,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.k-iss.de/,130,58,45,,,4,35.7,37.4,Marzahn
02K05,Schule am Königstor,Friedrichshain-Kreuzberg,"Weinstraße 3, 10249 Berlin",320,58,319,51,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://schuleamkoenigstor.weebly.com/,88,73,83,,,5,57.8,63.9,Friedrichshain
04K10,Wangari-Maathai-Internationale-Schule,Charlottenburg-Wilmersdorf,"Babelsberger Straße 24, 10715 Berlin",304,35,265,29,"Englisch, Spanisch, Französisch",https://wangari-maathai-schule.de/,,,,,,2,67.1,66.4,Wilmersdorf
09A07,Flatow-Oberschule,Treptow-Köpenick,"Birkenstraße 11, 12559 Berlin",276,43,264,39,"Englisch, Französisch",https://flatow-os.de/,,,,2.18,2.08,1,8.7,14.8,Köpenick
11K15,Kosmos-Schule,Lichtenberg,"Allee der Kosmonauten 20-22, 10315 Berlin",227,22,,,"Englisch, Französisch, Spanisch",https://iss.adkosmos.eu/,156,274,176,,,,44.5,,Lichtenberg
11K16,Sekundarschule Falkenberger Chaussee,Lichtenberg,"Falkenberger Chaussee 74, 13053 Berlin",115,5,,,"Englisch, Spanisch",,156,35,22,,,,47.0,,Neu-Hohenschönhausen
10K14,Gemeinschaftsschule Mahlsdorf,Marzahn-Hellersdorf,"Landsberger Straße 178, 12623 Berlin",92,8,,,"Englisch, Französisch, Spanisch",,104,53,51,,,,0.0,,Mahlsdorf
