Schulnummer,Schulname,Bezirk,Adresse,Schueler_2024_25,Lehrer_2024_25,Schueler_2023_24,Lehrer_2023_24,Sprachen,Homepage,Nachfrage_Plaetze_2025_26,Nachfrage_Wuensche_2025_26,Nachfrage_Prozent_2025_26,Abitur_Durchschnitt_2024,Abitur_Durchschnitt_2023,MSA_Notendurchschnitt_Bezirk_2024,MSA_Bestehensquote_Bezirk_2024,MSA_Plus_Quote_Bezirk_2024,MSA_Teilnehmer_Bezirk_2024,MSA_Notendurchschnitt_Bezirk_2023,MSA_Bestehensquote_Bezirk_2023,MSA_Plus_Quote_Bezirk_2023,MSA_Teilnehmer_Bezirk_2023,Hat_Abitur,Leistungsdaten_Quelle,Notendurchschnitt_2024,Notendurchschnitt_2023,Belastungsstufe,Migration_2024_25,Migration_2023_24,Ortsteil
04A08,Sportschule im Olympiapark,Charlottenburg-Wilmersdorf,"Prinz-Friedrich-Karl-Weg 1, 14053 Berlin",524,79,533.0,71.0,"S1 Englisch/Französisch, S4 Englisch/Spanisch",https://www.sportschule-olympiapark.de/,,,,2.19,2.27,2.4,71.0,48.0,850,2.4,72.0,49.0,840,True,Schule_Abitur,2.19,2.27,1.0,5.2,5.6,Westend
10K05,Jean-Piaget-Schule,Marzahn-Hellersdorf,"Mittenwalder Straße 5, 12629 Berlin",522,49,557.0,49.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",http://www.piaget-schule-berlin.de/,130.0,103.0,79.0,,,2.5,65.0,41.0,1400,2.5,64.0,40.0,1380,False,Bezirk_MSA,2.5,2.5,6.0,27.4,28.7,Hellersdorf
06K08,Max-von-Laue-Schule,Steglitz-Zehlendorf,"Dürerstraße 27, 12203 Berlin",520,58,510.0,58.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch, 2. Fremdsprache Spanisch, 3. Fremdsprache Spanisch",https://max-von-laue-oberschule.de/,104.0,187.0,180.0,,,2.3,76.0,54.0,926,2.3,77.0,55.0,910,False,Bezirk_MSA,2.3,2.3,3.0,33.3,31.4,Lichterfelde
07K05,Solling-Schule,Tempelhof-Schöneberg,"Alt-Marienfelde 52, 12277 Berlin",505,49,522.0,49.0,"Englisch, Französisch, Spanisch",http://solling-schule.de/,130.0,34.0,26.0,,,2.4,70.0,47.0,1020,2.4,72.0,49.0,1000,False,Bezirk_MSA,2.4,2.4,4.0,38.8,41.2,Marienfelde
09K03,Fritz-Kühn-Schule,Treptow-Köpenick,"Dahmestraße 45, 12526 Berlin",496,45,429.0,36.0,"Englisch, Französisch, Spanisch",https://www.fritz-kuehn-schule.de/,104.0,109.0,105.0,,,2.4,72.0,49.0,980,2.4,71.0,48.0,970,False,Bezirk_MSA,2.4,2.4,3.0,24.6,23.5,Bohnsdorf
03K05,Heinz-Brandt-Schule,Pankow,"Langhansstraße 120, 13086 Berlin",487,53,458.0,48.0,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://www.heinz-brandt-schule.de,104.0,315.0,303.0,,,2.3,75.0,52.0,1100,2.3,74.0,51.0,1080,False,Bezirk_MSA,2.3,2.3,4.0,21.4,19.2,Weißensee
10K07,Caspar-David-Friedrich-Schule,Marzahn-Hellersdorf,"Alte Hellersdorfer Straße 7, 12629 Berlin",482,47,486.0,47.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://cdf-oberschule.de/,130.0,174.0,134.0,,,2.5,65.0,41.0,1400,2.5,64.0,40.0,1380,False,Bezirk_MSA,2.5,2.5,4.0,12.4,9.5,Hellersdorf
02K09,Albrecht-von-Graefe-Schule,Friedrichshain-Kreuzberg,"Graefestraße 85-88, 10967 Berlin",482,61,425.0,56.0,Englisch und Spanisch,https://www.albrecht-von-graefe-schule.de/,104.0,99.0,95.0,,,2.5,67.0,43.0,980,2.5,66.0,42.0,960,False,Bezirk_MSA,2.5,2.5,6.0,90.9,91.5,Kreuzberg
11K14,Elsa-Neumann-Schule,Lichtenberg,"Wartiner Straße 1-3, 13057 Berlin",482,33,328.0,30.0,"Englisch, Französisch, Latein, Russisch, Spanisch",https://elsa-neumann-schule.de,130.0,130.0,100.0,,,2.4,69.0,45.0,1200,2.4,68.0,44.0,1180,False,Bezirk_MSA,2.4,2.4,,32.8,43.3,Neu-Hohenschönhausen
04K06,Schule am Schloss,Charlottenburg-Wilmersdorf,"Schloßstraße 55A, 14059 Berlin",474,54,500.0,55.0,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://www.schuleamschloss.de/,130.0,60.0,46.0,,,2.4,71.0,48.0,850,2.4,72.0,49.0,840,False,Bezirk_MSA,2.4,2.4,6.0,78.1,80.0,Charlottenburg
03K06,Reinhold-Burger-Schule,Pankow,"Neue Schönholzer Straße 32, 13187 Berlin",474,51,450.0,55.0,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://www.reinhold-burger-schule.de/,104.0,139.0,134.0,,,2.3,75.0,52.0,1100,2.3,74.0,51.0,1080,False,Bezirk_MSA,2.3,2.3,4.0,20.3,17.8,Pankow
