stop_name,stop_type,transit_type,lines,latitude,longitude
Pahlblöckensstieg,,Metrobus,M29,53.60645274282,10.170478648540984
S Poppenbüttel (Stormarnplatz),,Metrobus,M8,53.65157495261093,10.0938791237758
Immenseeweg,,Metrobus,M29,53.59441836975802,10.17502848756712
Lufthansa-Basis (Haupteingang),,Metrobus,"M23,M28",53.62145985774709,9.99735214080456
Werfelring,,Metrobus,M27,53.62859053833803,10.116732996886613
Brunskamp,,Metrobus,M29,53.59248569765043,10.181436220052335
Rahlstedt Center,,Metrobus,M29,53.60376947353925,10.157952107711644
Hohnerkamp (Mitte),,Metrobus,M18,53.62437817146397,10.090530537146385
Ermlandweg,,Metrobus,M24,53.649183628804664,9.992757880729595
Liliencronpark,,Metrobus,M26,53.60167739381225,10.15298189328594
Bf. Rahlstedt (Doberaner Weg),,Metrobus,"M24,M16",53.60531322058129,10.153041907946921
Obenhauptstraße,,Metrobus,M28,53.619990866459055,10.007497611742304
U Meiendorfer Weg,,Metrobus,M24,53.63875302320131,10.157062717833185
Wrangelkoppel,,Metrobus,M24,53.648766199722814,9.995958189384728
Bf. Rahlstedt (Amtsstraße),,Metrobus,"M9,M26,M29",53.60329177671084,10.153879050726925
Samlandweg,,Metrobus,M24,53.64914772170205,10.00281237987666
Rittmerskamp,,Metrobus,M24,53.648977278680064,10.007410443194088
Speersort,,Metrobus,"M17,M6,M4,M16",53.54929257359876,9.997049874517135
U Langenhorn Markt (Krohnstieg),,Metrobus,M24,53.64947688234061,10.018117065139021
Wildschwanbrook,,Metrobus,M24,53.627051309382956,10.1698771564416
Zeisehallen,,Metrobus,M16,53.554369948525434,9.926846034645834
Skaldenweg,,Metrobus,M24,53.63279300295502,10.179157760703527
S Wellingsbüttel,,Metrobus,M27,53.64076286864439,10.081298650072895
Wildschwanbrook (Mitte),,Metrobus,M24,53.62969570716889,10.175160490300982
Hohenesch,,Metrobus,"M16,M2",53.5547570423695,9.928651130951451
Rambachstraße,,Metrobus,M2,53.54527849192702,9.97597675614922
U Sierichstraße,,Metrobus,"M25,M19",53.59072290965384,10.002701305721255
Spitzbergenweg,,Metrobus,M24,53.62838547515268,10.165914322090595
S Alte Wöhr,,Metrobus,M23,53.59731585378777,10.037508478890604
Ericusspitze,,Metrobus,M2,53.54622484858615,10.002256333473042
Am Schulwald,,Metrobus,M24,53.65027949524909,10.025576165078437
Saselheider Weg,,Metrobus,M17,53.627734563272945,10.134236850133162
Lienaustraße,,Metrobus,M17,53.62697398543237,10.12435022460277
Singapurstraße,,Metrobus,"M2,M6",53.54309179751061,9.996584434031323
Roter Hahn,,Metrobus,M17,53.62628237141712,10.117288020424333
Sandkule,,Metrobus,"M16,M24",53.60692472757722,10.148789510707939
Glashütter Landstraße,,Metrobus,M24,53.6476539361171,10.041576107678765
Am Kaiserkai (Elbphilharmonie),,Metrobus,M2,53.54319635949891,9.986013707156822
Brillkamp,,Metrobus,M24,53.64554511338445,10.048834406166566
Hohenkamp,,Metrobus,M16,53.60564922993044,10.145745756104539
U Berne (Berner Heerweg),,Metrobus,M17,53.62648520351317,10.137361935853388
Kienholt,,Metrobus,M17,53.62238359997614,10.10566325173978
Domstraße,,Metrobus,"M17,M16",53.5482318251092,9.995509605598249
Offenbachweg,,Metrobus,M24,53.63136411377968,10.174491638725328
Fahrenkrön,,Metrobus,M17,53.61905395890427,10.095505224612618
Heestweg,,Metrobus,"M16,M24",53.602607897242905,10.149821425820441
Buddenbrookweg,,Metrobus,M27,53.62628107807909,10.115739059517676
Auf dem Sande (Speicherstadt),,Metrobus,M6,53.54426535138173,9.991046031502473
Hohnerkamp,,Metrobus,M17,53.61837693137348,10.090246010810462
Thomas-Mann-Straße,,Metrobus,M27,53.627886157382385,10.114400752156415
Forum Gymnasium Rahlstedt,,Metrobus,M26,53.6013144610399,10.141823348361896
Lapplandring,,Metrobus,M24,53.629965257674606,10.16957351502622
U Baumwall,,Metrobus,M2,53.54466943961316,9.98083642808455
Am Sandtorkai,,Metrobus,"M2,M6",53.543851302490815,9.990151013348344
Paulinenstraße,,Metrobus,M17,53.55513195581942,9.964280293924576
Waldingstraße,,Metrobus,M27,53.635058136307464,10.102825178673026
Seumestraße (Eilenau),,Metrobus,M16,53.574442487396425,10.05274887066504
Waterblöckenwiese,,Metrobus,M29,53.60841820147205,10.175867881717874
Bundesstraße,,Metrobus,"M15,M4",53.56972465571862,9.974729545514473
Quittenweg,,Metrobus,M27,53.62702941471933,10.110175754220466
Heckende,,Metrobus,M29,53.60702065372932,10.175015150983254
Grootmoor,,Metrobus,M27,53.632607099002136,10.105537406360593
Grindelhof,,Metrobus,"M4,M5",53.56662982807626,9.981124940189583
